"net1","net2","mean_full","mean_pos","mean_neg","n_edges","subject","condition"
"SalVentAttn","SomMot",0.323155461178352,0.371158350010093,-0.121671308662448,770,"sub-002","LSD"
"SalVentAttn","DorsAttn",0.312529165105264,0.352797531327335,-0.098839831006483,572,"sub-002","LSD"
"SalVentAttn","SalVentAttn",0.490708813530216,0.50961942998747,-0.114430913101911,231,"sub-002","LSD"
"SalVentAttn","Limbic",0.0296046038273889,0.137064305025368,-0.103354009519263,264,"sub-002","LSD"
"SalVentAttn","Cont",0.146589559371313,0.295044635784937,-0.158568097701138,660,"sub-002","LSD"
"SalVentAttn","Default",0.011073817542357,0.227836353191747,-0.210015315624985,1012,"sub-002","LSD"
"SalVentAttn","Subcortex",0.22001402710619,0.293645944433191,-0.090330868886877,704,"sub-002","LSD"
"Limbic","Vis",-0.055100707495682,0.0827493524471462,-0.132370920468119,348,"sub-002","LSD"
"Limbic","SomMot",-0.0232016859205862,0.101344137063397,-0.145397587716192,420,"sub-002","LSD"
"Limbic","DorsAttn",-0.0715937054641812,0.0961794647834896,-0.150731993316856,312,"sub-002","LSD"
"Limbic","SalVentAttn",0.0296046038273889,0.137064305025368,-0.103354009519263,264,"sub-002","LSD"
"Limbic","Limbic",0.160054844556553,0.24382236619348,-0.101718660558846,66,"sub-002","LSD"
"Limbic","Cont",0.0173206633333665,0.149431363436631,-0.133662993927507,360,"sub-002","LSD"
"Limbic","Default",0.0342984312506024,0.157805352802734,-0.126260566767168,552,"sub-002","LSD"
"Limbic","Subcortex",0.0247070833914217,0.140983437962993,-0.120128375811764,384,"sub-002","LSD"
"Cont","Vis",0.0195568739972296,0.197855891613432,-0.162888632400745,870,"sub-002","LSD"
"Cont","SomMot",-0.0791108784248006,0.15015089677694,-0.189855973225641,1050,"sub-002","LSD"
"Cont","DorsAttn",0.143408137455794,0.290975589595782,-0.153436042331595,780,"sub-002","LSD"
"Cont","SalVentAttn",0.146589559371313,0.295044635784937,-0.158568097701138,660,"sub-002","LSD"
"Cont","Limbic",0.0173206633333665,0.149431363436631,-0.133662993927507,360,"sub-002","LSD"
"Cont","Cont",0.265837253088011,0.327181434725314,-0.117563882145128,435,"sub-002","LSD"
"Cont","Default",0.133235715901828,0.249345370751524,-0.140511864510228,1380,"sub-002","LSD"
"Cont","Subcortex",0.0860687900643482,0.2004577115116,-0.128324817199064,960,"sub-002","LSD"
"Default","Vis",-0.0246636602852577,0.190315849565719,-0.181646103924816,1334,"sub-002","LSD"
"Default","SomMot",-0.0990601515913536,0.155376402890763,-0.22533256803508,1610,"sub-002","LSD"
"Default","DorsAttn",-0.000853845102849838,0.205022091421285,-0.190842249547952,1196,"sub-002","LSD"
"Default","SalVentAttn",0.011073817542357,0.227836353191747,-0.210015315624985,1012,"sub-002","LSD"
"Default","Limbic",0.0342984312506024,0.157805352802734,-0.126260566767168,552,"sub-002","LSD"
"Default","Cont",0.133235715901828,0.249345370751524,-0.140511864510228,1380,"sub-002","LSD"
"Default","Default",0.239360832246106,0.322415764742578,-0.1031379735438,1035,"sub-002","LSD"
"Default","Subcortex",0.100381656705767,0.190986914166908,-0.0970712693812543,1472,"sub-002","LSD"
"Subcortex","Vis",0.1031641444033,0.192017671264505,-0.10673621615288,928,"sub-002","LSD"
"Subcortex","SomMot",0.148758727919947,0.230030271082268,-0.11345700567924,1120,"sub-002","LSD"
"Subcortex","DorsAttn",0.110697661462038,0.22811110650228,-0.11108329028064,832,"sub-002","LSD"
"Subcortex","SalVentAttn",0.22001402710619,0.293645944433191,-0.090330868886877,704,"sub-002","LSD"
"Subcortex","Limbic",0.0247070833914217,0.140983437962993,-0.120128375811764,384,"sub-002","LSD"
"Subcortex","Cont",0.0860687900643482,0.2004577115116,-0.128324817199064,960,"sub-002","LSD"
"Subcortex","Default",0.100381656705767,0.190986914166908,-0.0970712693812543,1472,"sub-002","LSD"
"Subcortex","Subcortex",0.242990538733273,0.32109862095432,-0.124207227110503,496,"sub-002","LSD"
"Vis","Vis",0.328922133476793,0.405315971498608,-0.120377218956595,406,"sub-002","PLCB"
"Vis","SomMot",0.185820510310438,0.224116076075957,-0.0681395573977407,1015,"sub-002","PLCB"
"Vis","DorsAttn",0.140909482957255,0.219000993488061,-0.108115667290981,754,"sub-002","PLCB"
"Vis","SalVentAttn",0.10341358383668,0.182620916492882,-0.125514926401367,638,"sub-002","PLCB"
"Vis","Limbic",0.0375898167105649,0.136367836029461,-0.114542753189341,348,"sub-002","PLCB"
"Vis","Cont",-0.048745610589625,0.120993021108333,-0.147502632668437,870,"sub-002","PLCB"
"Vis","Default",-0.0201698051447234,0.178120510865208,-0.170849517574434,1334,"sub-002","PLCB"
"Vis","Subcortex",0.00859580166010343,0.145519321400827,-0.128919180368917,928,"sub-002","PLCB"
"SomMot","Vis",0.185820510310438,0.224116076075957,-0.0681395573977407,1015,"sub-002","PLCB"
"SomMot","SomMot",0.67801675356501,0.67801675356501,NA,595,"sub-002","PLCB"
"SomMot","DorsAttn",0.359580743572459,0.37792762458845,-0.0614318944786892,910,"sub-002","PLCB"
